"Название","Тип","Размер","Дата изменения","Уровень вложенности","Полный абсолютный путь"
"38ee915237f24d54e6fe18e26b1ca3f4bcb214","file","0.1787109375 Kb","2020-03-07","4","./.git/objects/a6/38ee915237f24d54e6fe18e26b1ca3f4bcb214"
"9de29bb2d1d6434b8b29ae775ad8c2e48c5391","file","0.0146484375 Kb","2020-05-26","4","./.git/objects/e6/9de29bb2d1d6434b8b29ae775ad8c2e48c5391"
"1348d6924a946826688d283e323a030ed44f68","file","0.1806640625 Kb","2020-05-26","4","./.git/objects/f9/1348d6924a946826688d283e323a030ed44f68"
"120378b1a75d38ca312eae1a9438d067bdf230","file","0.1298828125 Kb","2020-05-11","4","./.git/objects/e9/120378b1a75d38ca312eae1a9438d067bdf230"
"4e5bda0db2a2bb5a9e4eff4aeaf52768123ecb","file","0.05078125 Kb","2020-05-14","4","./.git/objects/e7/4e5bda0db2a2bb5a9e4eff4aeaf52768123ecb"
"cbf2cf2f90898a5f4099c227a19e35c99e6d6c","file","0.20703125 Kb","2020-03-10","4","./.git/objects/46/cbf2cf2f90898a5f4099c227a19e35c99e6d6c"
"921389b9eeb39dc5fcc634d2a23e16a44b7628","file","0.298828125 Kb","2020-05-14","4","./.git/objects/46/921389b9eeb39dc5fcc634d2a23e16a44b7628"
"efb9f2d3865818a2e11462bc2cca44ea2ae2fe","file","0.205078125 Kb","2020-05-25","4","./.git/objects/2c/efb9f2d3865818a2e11462bc2cca44ea2ae2fe"
"b8af46acfd1986ee613f4457289b0e00e66265","file","0.560546875 Kb","2020-04-26","4","./.git/objects/41/b8af46acfd1986ee613f4457289b0e00e66265"
"533872360aa32e311028270a3d10e81bd4acb3","file","0.1748046875 Kb","2020-05-14","4","./.git/objects/83/533872360aa32e311028270a3d10e81bd4acb3"
"727ef6833fd48fecdfeb38ae6b2908bd99bbc5","file","0.1806640625 Kb","2020-03-08","4","./.git/objects/24/727ef6833fd48fecdfeb38ae6b2908bd99bbc5"
"f4cb60625e206fd167d82faa40aa52d909582e","file","0.2080078125 Kb","2020-03-08","4","./.git/objects/23/f4cb60625e206fd167d82faa40aa52d909582e"
"8393c6cb91f8f47689574cc61415447fbfba8e","file","0.1796875 Kb","2020-05-14","4","./.git/objects/4f/8393c6cb91f8f47689574cc61415447fbfba8e"
"91c4da4323a6ef5077af5e9c38354f6636b962","file","0.1796875 Kb","2020-03-08","4","./.git/objects/12/91c4da4323a6ef5077af5e9c38354f6636b962"
"525b057e5f3e1998a483311ae944748a8d7a7a","file","0.2880859375 Kb","2020-05-14","4","./.git/objects/82/525b057e5f3e1998a483311ae944748a8d7a7a"
"ee7c31bb6c3da579097166a068d816c52acace","file","0.171875 Kb","2020-05-26","4","./.git/objects/82/ee7c31bb6c3da579097166a068d816c52acace"
"bb4e33d1577fde5126efd0d05ce06c33e3a684","file","0.0361328125 Kb","2020-05-14","4","./.git/objects/40/bb4e33d1577fde5126efd0d05ce06c33e3a684"
"db1999d4931802039ad994352010f0fefa4785","file","0.1904296875 Kb","2020-03-08","4","./.git/objects/8e/db1999d4931802039ad994352010f0fefa4785"
"exclude","file","0.234375 Kb","2020-03-07","3","./.git/info/exclude"
"HEAD","file","1.7587890625 Kb","2020-05-26","3","./.git/logs/HEAD"
"refs","directory","0.125 Kb","2020-03-07","3","./.git/logs/refs"
